Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,50.0,1.0,50.0,50.0,0.0,82.77357092822427,0.0,0.0,0.014590263366699219,,,,,,,,,,,,,,,,,,,,,40.420351314712335,26.849662123982856,81.2347589985873,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,92.0,2.0,42.0,92.0,0.0,68.9750711184472,0.0,0.0,4.2300803661346436,,,,,,,,,,,,,,,,,,,,,32.833917944495184,22.435461656730627,67.73144171677023,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,111.0,3.0,19.0,111.0,0.0,18.78780244507605,0.0,0.0,6.238801956176758,,,,,,,,,,,,,,,,,,,,,8.396430665719729,6.403017145114079,18.665582762369354,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,130.0,4.0,19.0,130.0,0.0,22.595238117153688,0.0,0.0,8.326427221298218,,,,,,,,,,,,,,,,,,,,,8.955157172889445,8.383741246464828,22.470007676213534,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,156.0,5.0,26.0,156.0,0.0,28.28274316596686,0.0,0.0,11.088144063949585,,,,,,,,,,,,,,,,,,,,,8.819442729820375,10.186615893747264,28.109628802968654,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,178.0,6.0,22.0,178.0,0.0,22.72142660666585,0.0,0.0,13.507483005523682,,,,,,,,,,,,,,,,,,,,,9.981221754712921,7.738440362018709,22.54691100315748,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,202.0,7.0,24.0,202.0,0.0,24.802363103532386,0.0,0.0,16.08441400527954,,,,,,,,,,,,,,,,,,,,,8.068305363135464,8.658594157565025,24.658015147096172,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,221.0,8.0,19.0,221.0,0.0,20.716465306663164,0.0,0.0,18.300673961639404,,,,,,,,,,,,,,,,,,,,,9.411123529845824,7.139365062977305,20.57879096273059,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,241.0,9.0,20.0,241.0,0.0,32.76109296971934,0.0,0.0,20.699648141860962,,,,,,,,,,,,,,,,,,,,,14.52072634272361,11.68104909653456,32.535717341831194,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,259.0,10.0,18.0,259.0,0.0,30.454336893950614,0.0,0.0,23.034761905670166,,,,,,,,,,,,,,,,,,,,,13.332220741552936,10.986070404843929,30.2748763985233,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
