episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
780,1.0,-1.8984563605591016,-5.964571744513491,-8.74191274078273,-10.0,1.3333333333333333,0,0.0,False,True,0.2914509112068441,0,48.06927451701628,3883.563,prepare,0.0
780,2.0,-1.8985861410001152,-5.964736016030435,-8.776718267172612,0.0,2.6666666666666665,10,0.001,False,True,0.2912362107350494,0,48.06927451701628,3883.636,in_progress,0.0
780,3.0,-1.8914769671364542,-5.964063724841114,-8.345470791208513,-3.333333333333335,1.3333333333333333,6,0.001,False,True,0.3056392537436295,0,48.06927451701628,3883.702,in_progress,0.0
780,4.0,-1.8693499398867903,-5.968781818981089,-8.7950385391153,3.333333333333332,1.3333333333333333,12,0.001,False,True,0.35262929158324813,1,48.06927451701628,3883.763,in_progress,0.0
780,5.0,-1.8318216985207278,-5.972220531133779,-8.287302136578603,3.333333333333332,2.6666666666666665,13,0.001,False,True,0.43087806351642977,1,48.06927451701628,3883.834,in_progress,0.0
780,6.0,-1.77700356128767,-5.974258306406827,-6.923146043633316,3.333333333333332,1.3333333333333333,12,0.001,False,True,0.5442301042650789,1,48.06927451701628,3883.896,in_progress,0.0
780,7.0,-1.7178760355642464,-5.976745231422715,-5.818254549115907,-3.333333333333335,2.6666666666666665,7,0.001,False,True,0.666461114029369,1,48.06927451701628,3883.966,in_progress,0.0
780,8.0,-1.6388015666395757,-5.982659900615936,-5.326340476028713,10.0,4.0,20,3.9240540029486493,False,True,0.8308639161008678,1,48.06927451701628,3884.028,in_progress,0.0
780,9.0,-1.5515593718001826,-5.978264205795228,-2.199590320934148,-10.0,4.0,2,3.8902830156967094,False,True,1.008697559467804,2,48.06927451701628,3884.1,in_progress,0.0
780,10.0,-1.4407702175242525,-5.9721439463835875,0.010869939895230546,10.0,1.3333333333333333,18,0.001,False,True,1.234354139943807,2,48.06927451701628,3884.167,in_progress,0.0
780,11.0,-1.334795398654865,-5.969953366664768,0.5105704234521123,-6.666666666666668,1.3333333333333333,3,0.001,False,True,1.45063433102355,2,48.06927451701628,3884.23,in_progress,0.0
780,12.0,-1.233787674600169,-5.9648276541885625,1.3941089594641647,-6.666666666666668,2.6666666666666665,4,1.9432529485697096,False,True,1.6563211595655734,3,48.06927451701628,3884.303,in_progress,0.0
780,13.0,-1.1203910011473788,-5.967485334034094,0.2036173902389094,-10.0,1.3333333333333333,0,0.001,False,True,1.8889430911566978,3,48.06927451701628,3884.364,in_progress,0.0
780,14.0,-1.0200944918683974,-5.984650927858363,-3.7457131670769965,10.0,4.0,20,2.8927215653266725,False,True,2.1006253782238273,3,48.06927451701628,3884.423,in_progress,0.0
780,15.0,-0.9077448641266572,-6.009886334765249,-7.482762149424135,10.0,4.0,20,1.9378547033404432,False,True,2.339808944652871,4,48.06927451701628,3884.49,in_progress,0.0
780,16.0,-0.7909595085172352,-6.023213383767875,-7.085077804416976,-6.666666666666668,2.6666666666666665,4,2.8842660509196785,False,True,2.5837144544629655,4,48.06927451701628,3884.565,in_progress,0.0
780,17.0,-0.6438802374603474,-6.038964837181061,-6.693443015706232,-3.333333333333335,2.6666666666666665,7,3.506048701255395,False,True,2.890878699659593,5,48.06927451701628,3884.632,in_progress,0.0
780,18.0,-0.49942303670220034,-6.069596470048115,-9.452673794994968,0.0,4.0,11,1.7490564330754346,False,True,3.197434629913726,5,48.06927451701628,3884.693,in_progress,0.0
780,19.0,-0.3471768813009021,-6.106168306442472,-11.609600555634316,0.0,2.6666666666666665,10,3.7644194274556018,False,True,3.5224294461915266,6,48.06927451701628,3884.769,in_progress,0.0
